COURSE_ID,TITLE,DESCRIPTION
ML0201EN,robots are coming  build iot apps with watson  swift  and node red,have fun with iot and learn along the way  if you re a swift developer and want to learn more about iot and watson ai services in the cloud  raspberry pi   and node red  you ve found the right place  you ll build iot apps to read temperature data  take pictures with a raspcam  use ai to recognize the objects in those pictures  and program an irobot create 2 robot  
ML0122EN,accelerating deep learning with gpu,"training complex deep learning models with large datasets takes along time  in this course  you will learn how to use accelerated gpu hardware to overcome the scalability problem in deep learning 
you can use accelerated hardware such as google s tensor processing unit  tpu  or nvidia gpu to accelerate your convolutional neural network computations time on the cloud  these chips are specifically designed to support the training of neural networks  as well as the use of trained networks  inference   accelerated hardware has recently been proven to significantly reduce training time 
but the problem is that your data might be sensitiveand you may not feel comfortable uploading it on a public cloud  preferring to analyze it on premise  in this case  you need to use an in house system with gpu support  one solution is to use ibm s power systems with nvidia gpu and power ai  the power ai platform supports popular machine learning libraries and dependencies including tensorflow  caffe  torch  and theano 
in this course  you ll understand what gpu based accelerated hardware is and how it can benefit your deep learning scaling needs  you ll also deploy deep learning networks on gpu accelerated hardware for several problems  including the classification of images and videos "
GPXX0ZG0EN,consuming restful services using the reactive jax rs client,learn how to use a reactive jax rs client to asynchronously invoke restful microservices over http 
RP0105EN,analyzing big data in r using apache spark,"apache spark is a popular cluster computing framework used for performing large scale data analysis  sparkr provides a distributed data frame api that enables structured data processing with a syntax familiar to r users 
"
GPXX0Z2PEN,containerizing  packaging  and running a spring boot application,learn how to containerize  package  and run a spring boot application on an open liberty server without modification 
CNSC02EN,cloud native security conference   data security,introduction to data security on cloud
DX0106EN,data science bootcamp with r for university proffesors,a multi day intensive  in person data science bootcamp offered by big data university
GPXX0FTCEN,learn how to use docker containers for iterative development,learn how to use docker containers for iterative development 
RAVSCTEST1,scorm test 1,scron test course
GPXX06RFEN,create your first mongodb database,in this guided project  you will get started with mongodb by creating your first database  working with collections  and doing basic document management  
GPXX0SDXEN,testing microservices with the arquillian managed container,learn how to develop tests for your microservices with the arquillian managed container and run the tests on open liberty 
