doc_index,doc_id,token,bow
0,ML0201EN,ai,2
0,ML0201EN,apps,2
0,ML0201EN,build,2
0,ML0201EN,cloud,1
0,ML0201EN,coming,1
0,ML0201EN,create,1
0,ML0201EN,data,1
0,ML0201EN,developer,1
0,ML0201EN,found,1
0,ML0201EN,fun,1
0,ML0201EN,iot,4
0,ML0201EN,irobot,1
0,ML0201EN,learn,2
0,ML0201EN,node,1
0,ML0201EN,objects,1
0,ML0201EN,pi,1
0,ML0201EN,pictures,2
0,ML0201EN,place,1
0,ML0201EN,program,1
0,ML0201EN,raspberry,1
0,ML0201EN,raspcam,1
0,ML0201EN,read,1
0,ML0201EN,recognize,1
0,ML0201EN,red,2
0,ML0201EN,robot,1
0,ML0201EN,robots,1
0,ML0201EN,services,1
0,ML0201EN,swift,2
0,ML0201EN,take,1
0,ML0201EN,temperature,1
0,ML0201EN,use,1
0,ML0201EN,want,1
0,ML0201EN,watson,2
0,ML0201EN,way,1
1,ML0122EN,ai,2
1,ML0122EN,cloud,2
1,ML0122EN,data,1
1,ML0122EN,learn,1
1,ML0122EN,use,4
1,ML0122EN,accelerate,1
1,ML0122EN,accelerated,5
1,ML0122EN,accelerating,1
1,ML0122EN,analyze,1
1,ML0122EN,based,1
1,ML0122EN,benefit,1
1,ML0122EN,caffe,1
1,ML0122EN,case,1
1,ML0122EN,chips,1
1,ML0122EN,classification,1
1,ML0122EN,comfortable,1
1,ML0122EN,complex,1
1,ML0122EN,computations,1
1,ML0122EN,convolutional,1
1,ML0122EN,course,2
1,ML0122EN,datasets,1
1,ML0122EN,deep,4
1,ML0122EN,dependencies,1
1,ML0122EN,deploy,1
1,ML0122EN,designed,1
1,ML0122EN,feel,1
1,ML0122EN,google,1
1,ML0122EN,gpu,7
1,ML0122EN,hardware,5
1,ML0122EN,house,1
1,ML0122EN,ibm,1
1,ML0122EN,images,1
1,ML0122EN,including,2
1,ML0122EN,inference,1
1,ML0122EN,large,1
1,ML0122EN,learning,6
1,ML0122EN,libraries,1
1,ML0122EN,machine,1
1,ML0122EN,models,1
1,ML0122EN,need,1
1,ML0122EN,needs,1
1,ML0122EN,network,1
1,ML0122EN,networks,3
1,ML0122EN,neural,2
1,ML0122EN,nvidia,1
1,ML0122EN,one,1
1,ML0122EN,overcome,1
1,ML0122EN,platform,1
1,ML0122EN,popular,1
1,ML0122EN,power,3
1,ML0122EN,preferring,1
1,ML0122EN,premise,1
1,ML0122EN,problem,2
1,ML0122EN,problems,1
1,ML0122EN,processing,1
1,ML0122EN,public,1
1,ML0122EN,reduce,1
1,ML0122EN,scalability,1
1,ML0122EN,scaling,1
1,ML0122EN,sensitiveand,1
1,ML0122EN,several,1
1,ML0122EN,solution,1
1,ML0122EN,support,2
1,ML0122EN,supports,1
1,ML0122EN,system,1
1,ML0122EN,systems,1
1,ML0122EN,takes,1
1,ML0122EN,tensor,1
1,ML0122EN,tensorflow,1
1,ML0122EN,theano,1
1,ML0122EN,time,3
1,ML0122EN,torch,1
1,ML0122EN,tpu,1
1,ML0122EN,trained,1
1,ML0122EN,training,3
1,ML0122EN,understand,1
1,ML0122EN,unit,1
1,ML0122EN,uploading,1
1,ML0122EN,videos,1
2,GPXX0ZG0EN,learn,1
2,GPXX0ZG0EN,services,1
2,GPXX0ZG0EN,use,1
2,GPXX0ZG0EN,client,2
2,GPXX0ZG0EN,consuming,1
2,GPXX0ZG0EN,http,1
2,GPXX0ZG0EN,invoke,1
2,GPXX0ZG0EN,jax,2
2,GPXX0ZG0EN,microservices,1
2,GPXX0ZG0EN,reactive,2
2,GPXX0ZG0EN,restful,2
2,GPXX0ZG0EN,rs,2
2,GPXX0ZG0EN,using,1
3,RP0105EN,data,4
3,RP0105EN,large,1
3,RP0105EN,popular,1
3,RP0105EN,processing,1
3,RP0105EN,using,1
3,RP0105EN,analysis,1
3,RP0105EN,analyzing,1
3,RP0105EN,apache,2
3,RP0105EN,api,1
3,RP0105EN,big,1
3,RP0105EN,cluster,1
3,RP0105EN,computing,1
3,RP0105EN,distributed,1
3,RP0105EN,enables,1
3,RP0105EN,familiar,1
3,RP0105EN,frame,1
3,RP0105EN,framework,1
3,RP0105EN,performing,1
3,RP0105EN,provides,1
3,RP0105EN,r,2
3,RP0105EN,scale,1
3,RP0105EN,spark,2
3,RP0105EN,sparkr,1
3,RP0105EN,structured,1
3,RP0105EN,syntax,1
3,RP0105EN,used,1
3,RP0105EN,users,1
4,GPXX0Z2PEN,learn,1
4,GPXX0Z2PEN,application,2
4,GPXX0Z2PEN,boot,2
4,GPXX0Z2PEN,containerize,1
4,GPXX0Z2PEN,containerizing,1
4,GPXX0Z2PEN,liberty,1
4,GPXX0Z2PEN,modification,1
4,GPXX0Z2PEN,open,1
4,GPXX0Z2PEN,package,1
4,GPXX0Z2PEN,packaging,1
4,GPXX0Z2PEN,run,1
4,GPXX0Z2PEN,running,1
4,GPXX0Z2PEN,server,1
4,GPXX0Z2PEN,spring,2
5,CNSC02EN,cloud,2
5,CNSC02EN,data,2
5,CNSC02EN,conference,1
5,CNSC02EN,introduction,1
5,CNSC02EN,native,1
5,CNSC02EN,security,3
6,DX0106EN,data,3
6,DX0106EN,big,1
6,DX0106EN,r,1
6,DX0106EN,bootcamp,2
6,DX0106EN,day,1
6,DX0106EN,intensive,1
6,DX0106EN,multi,1
6,DX0106EN,offered,1
6,DX0106EN,person,1
6,DX0106EN,proffesors,1
6,DX0106EN,science,2
6,DX0106EN,university,2
7,GPXX0FTCEN,learn,2
7,GPXX0FTCEN,use,2
7,GPXX0FTCEN,containers,2
7,GPXX0FTCEN,development,2
7,GPXX0FTCEN,docker,2
7,GPXX0FTCEN,iterative,2
8,RAVSCTEST1,course,1
8,RAVSCTEST1,scorm,1
8,RAVSCTEST1,scron,1
8,RAVSCTEST1,test,2
9,GPXX06RFEN,create,1
9,GPXX06RFEN,basic,1
9,GPXX06RFEN,collections,1
9,GPXX06RFEN,creating,1
9,GPXX06RFEN,database,2
